   47																																															
cap_28326    	0.00000	0.02456	0.01937	0.04068	0.02015	0.04524	0.04362	0.04552	0.04641	0.07431	0.07773	0.07635	0.07570	0.07573	0.07502	0.07125	0.07580	0.07532	0.06945	0.07815	0.07140	0.07787	0.07605	0.07850	0.07881	0.07942	0.07846	0.07143	0.07990	0.07459	0.06675	0.07791	0.07717	0.07696	0.07583	0.07697	0.07863	0.07634	0.07712	0.07585	0.07961	0.08085	0.08108	0.07834	0.06538	0.08021	0.07827
cap_28338    	0.02456	0.00000	0.02013	0.02113	0.02564	0.04775	0.04642	0.04895	0.04749	0.07900	0.08272	0.08177	0.08112	0.08118	0.08114	0.07463	0.08088	0.08161	0.07339	0.08281	0.07312	0.08379	0.08140	0.08431	0.08493	0.08507	0.08368	0.07504	0.08422	0.07787	0.06976	0.08369	0.08194	0.08252	0.08042	0.08247	0.08336	0.08128	0.08152	0.07846	0.08267	0.08508	0.08640	0.08420	0.07111	0.08389	0.07923
cap_28339    	0.01937	0.02013	0.00000	0.02075	0.02062	0.04487	0.04448	0.04684	0.04613	0.07473	0.07824	0.07737	0.07651	0.07683	0.07672	0.06823	0.07701	0.07708	0.06910	0.07838	0.06949	0.07898	0.07686	0.08010	0.07995	0.07989	0.07928	0.06982	0.07985	0.07383	0.06784	0.07857	0.07753	0.07765	0.07657	0.07838	0.07949	0.07705	0.07774	0.07429	0.07935	0.08117	0.08182	0.07988	0.06360	0.07941	0.07548
cap_28341    	0.04068	0.02113	0.02075	0.00000	0.01999	0.04246	0.04213	0.04686	0.04506	0.06981	0.07524	0.07397	0.07170	0.07369	0.07383	0.06631	0.07362	0.07392	0.06755	0.07418	0.06787	0.07541	0.07487	0.07773	0.07663	0.07858	0.07654	0.06646	0.07698	0.07064	0.06114	0.07656	0.07412	0.07459	0.07294	0.07603	0.07587	0.07411	0.07493	0.06657	0.07511	0.07822	0.07852	0.07606	0.06095	0.07456	0.06842
cap_28342    	0.02015	0.02564	0.02062	0.01999	0.00000	0.04528	0.04489	0.04780	0.04607	0.07569	0.07915	0.07905	0.07735	0.07776	0.07815	0.07357	0.07798	0.07817	0.07188	0.07952	0.07084	0.08024	0.07819	0.08080	0.08094	0.08195	0.08065	0.07072	0.08118	0.07429	0.06555	0.07979	0.07949	0.07961	0.07755	0.07972	0.08051	0.07810	0.07855	0.07313	0.07867	0.08336	0.08414	0.08083	0.06707	0.07950	0.07722
cap_29959    	0.04524	0.04775	0.04487	0.04246	0.04528	0.00000	0.03857	0.03256	0.04596	0.07416	0.07794	0.07637	0.07486	0.07490	0.07573	0.06833	0.07609	0.07666	0.07338	0.07683	0.06953	0.07719	0.07626	0.07820	0.07826	0.07850	0.07847	0.06996	0.07791	0.07158	0.06303	0.07667	0.07656	0.07738	0.07537	0.07788	0.07864	0.07618	0.07620	0.07296	0.07866	0.08092	0.08170	0.07866	0.07039	0.07813	0.07391
cap_29965    	0.04362	0.04642	0.04448	0.04213	0.04489	0.03857	0.00000	0.03854	0.04570	0.06649	0.07014	0.06953	0.06898	0.06972	0.07034	0.06716	0.06928	0.07056	0.07021	0.07071	0.06542	0.07211	0.07010	0.07160	0.07168	0.07293	0.07317	0.06705	0.07269	0.06797	0.05789	0.07161	0.06960	0.07084	0.06869	0.07123	0.07214	0.07138	0.06985	0.06904	0.07684	0.07401	0.07508	0.07261	0.06220	0.07648	0.07164
cap_29968    	0.04552	0.04895	0.04684	0.04686	0.04780	0.03256	0.03854	0.00000	0.04773	0.07529	0.08004	0.07930	0.07776	0.07849	0.07805	0.06780	0.07803	0.07941	0.07592	0.08006	0.07016	0.08008	0.07907	0.08051	0.08006	0.08182	0.08119	0.07584	0.08059	0.07531	0.06614	0.07885	0.07753	0.08076	0.07733	0.08019	0.08221	0.07916	0.07739	0.07652	0.08182	0.08185	0.08284	0.08122	0.07198	0.08333	0.07947
cap_37769    	0.04641	0.04749	0.04613	0.04506	0.04607	0.04596	0.04570	0.04773	0.00000	0.07504	0.08100	0.07963	0.07812	0.07945	0.07999	0.06716	0.07854	0.07962	0.08093	0.07979	0.07138	0.08132	0.07899	0.08130	0.08179	0.08277	0.08185	0.07413	0.08178	0.07603	0.06876	0.08073	0.07967	0.08038	0.07932	0.08048	0.08252	0.08052	0.07999	0.07551	0.08001	0.08346	0.08427	0.08132	0.06949	0.08277	0.07507
den_19648    	0.07431	0.07900	0.07473	0.06981	0.07569	0.07416	0.06649	0.07529	0.07504	0.00000	0.02166	0.02678	0.02455	0.02555	0.02610	0.02167	0.02532	0.02737	0.02307	0.02594	0.02278	0.02931	0.02806	0.03347	0.03191	0.03458	0.03174	0.02606	0.03110	0.02827	0.01977	0.02830	0.02642	0.02849	0.02611	0.02824	0.02579	0.02719	0.03003	0.05669	0.06451	0.03570	0.03774	0.03680	0.02235	0.07085	0.05920
